A new study created in RDB with name: XGBRegressor_19256
Trial 11 finished with value: 0.07443795994089411 and parameters: {'max_depth': 1, 'min_child_weight': 3, 'gamma': 0.1908344179144159, 'subsample': 0.5373264795338532, 'colsample_bytree': 0.1878905835814385, 'learning_rate': 0.3885907841050964, 'reg_alpha': 0.04505663257400045, 'reg_lambda': 9.907070951085458}. Best is trial 11 with value: 0.07443795994089411.
Trial 16 finished with value: 0.08926861595783994 and parameters: {'max_depth': 1, 'min_child_weight': 5, 'gamma': 0.3787506535336833, 'subsample': 0.7255958581662783, 'colsample_bytree': 0.9115604743489731, 'learning_rate': 0.020151100961997015, 'reg_alpha': 0.0028221112083093606, 'reg_lambda': 0.003349871133520006}. Best is trial 16 with value: 0.08926861595783994.
Trial 0 finished with value: 0.03061077188591743 and parameters: {'max_depth': 1, 'min_child_weight': 5, 'gamma': 0.7895730457198138, 'subsample': 0.5120135489083232, 'colsample_bytree': 0.22468377412992158, 'learning_rate': 0.8272912515441396, 'reg_alpha': 2.1693030863937297, 'reg_lambda': 0.006418437882871708}. Best is trial 16 with value: 0.08926861595783994.
Trial 2 finished with value: -15.39116266249738 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.03607824284463612, 'subsample': 0.0431378600705411, 'colsample_bytree': 0.17797995182654702, 'learning_rate': 0.7340925025794284, 'reg_alpha': 0.08329785920815903, 'reg_lambda': 0.07310543048220287}. Best is trial 16 with value: 0.08926861595783994.
Trial 18 finished with value: 0.2301318038680455 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.22752413318390097, 'subsample': 0.3698655428822565, 'colsample_bytree': 0.09608378278616592, 'learning_rate': 0.7381567398905401, 'reg_alpha': 4.8877928165891396, 'reg_lambda': 0.007966291455288434}. Best is trial 18 with value: 0.2301318038680455.
Trial 24 finished with value: 0.06288934570761198 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.37356725688102943, 'subsample': 0.2789370263157166, 'colsample_bytree': 0.8135907532103427, 'learning_rate': 0.011187772394547157, 'reg_alpha': 6.710680363144664, 'reg_lambda': 0.00789324725434006}. Best is trial 18 with value: 0.2301318038680455.
Trial 6 finished with value: 0.29410731805750334 and parameters: {'max_depth': 3, 'min_child_weight': 4, 'gamma': 0.3141419679834384, 'subsample': 0.34666143535416183, 'colsample_bytree': 0.09558056482350019, 'learning_rate': 0.5577010590450177, 'reg_alpha': 0.02881296072226364, 'reg_lambda': 0.021215302318696828}. Best is trial 6 with value: 0.29410731805750334.
Trial 26 finished with value: 0.08820317111409662 and parameters: {'max_depth': 1, 'min_child_weight': 5, 'gamma': 0.002691790828893814, 'subsample': 0.7850692711086488, 'colsample_bytree': 0.15773815910437972, 'learning_rate': 0.184901593899799, 'reg_alpha': 0.15280993019253158, 'reg_lambda': 0.09349403036388189}. Best is trial 6 with value: 0.29410731805750334.
Trial 7 finished with value: 0.0751866657548893 and parameters: {'max_depth': 5, 'min_child_weight': 2, 'gamma': 0.7117871378735475, 'subsample': 0.899644439821692, 'colsample_bytree': 0.04817544383403738, 'learning_rate': 0.8184200447598771, 'reg_alpha': 0.0007367745296486658, 'reg_lambda': 4.56189781830593}. Best is trial 6 with value: 0.29410731805750334.
Trial 3 finished with value: 0.6528943113598316 and parameters: {'max_depth': 3, 'min_child_weight': 2, 'gamma': 0.5769736961796101, 'subsample': 0.45606790677347686, 'colsample_bytree': 0.9529485297221003, 'learning_rate': 0.7083785811179651, 'reg_alpha': 0.41911106622701266, 'reg_lambda': 7.095205070427312}. Best is trial 3 with value: 0.6528943113598316.
Trial 1 finished with value: 0.5781730821655334 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.4743950330857034, 'subsample': 0.6695038197070878, 'colsample_bytree': 0.45353643296584756, 'learning_rate': 0.12862276355915692, 'reg_alpha': 0.00012346095685362125, 'reg_lambda': 2.5808804972900385}. Best is trial 3 with value: 0.6528943113598316.
Trial 28 finished with value: 0.025467597000462493 and parameters: {'max_depth': 1, 'min_child_weight': 1, 'gamma': 0.5253519803577045, 'subsample': 0.16117479003140922, 'colsample_bytree': 0.1514383453583783, 'learning_rate': 0.1767578043426764, 'reg_alpha': 0.0016749794583462785, 'reg_lambda': 0.0036368461121594115}. Best is trial 3 with value: 0.6528943113598316.
