A new study created in RDB with name: Poly_Ridge_103944
Trial 23 finished with value: 0.4508943045692794 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.5662235545448863, 'max_iter': 69192}. Best is trial 23 with value: 0.4508943045692794.
Trial 7 finished with value: -0.016841069526068165 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.6602424003834717, 'max_iter': 11244}. Best is trial 23 with value: 0.4508943045692794.
Trial 6 finished with value: -0.07192334431273498 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 3.0727236936860023, 'max_iter': 59551}. Best is trial 23 with value: 0.4508943045692794.
Trial 13 finished with value: 0.3228493973110123 and parameters: {'n_components': 5, 'degree': 5, 'alpha': 0.0016714922272148664, 'max_iter': 44000}. Best is trial 23 with value: 0.4508943045692794.
Trial 18 finished with value: 0.29730022252002486 and parameters: {'n_components': 6, 'degree': 4, 'alpha': 0.002440369971176962, 'max_iter': 18064}. Best is trial 23 with value: 0.4508943045692794.
Trial 16 finished with value: 0.0427754287935424 and parameters: {'n_components': 6, 'degree': 2, 'alpha': 0.0033795613628311645, 'max_iter': 61316}. Best is trial 23 with value: 0.4508943045692794.
Trial 10 finished with value: -0.02384722120904902 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.010095906732373386, 'max_iter': 34698}. Best is trial 23 with value: 0.4508943045692794.
Trial 0 finished with value: -4.89700582014316 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.023289561906435823, 'max_iter': 51768}. Best is trial 23 with value: 0.4508943045692794.
Trial 2 finished with value: 0.34715902843511637 and parameters: {'n_components': 7, 'degree': 4, 'alpha': 0.00014427857082594276, 'max_iter': 78952}. Best is trial 1 with value: 0.4593707750671357.
Trial 8 finished with value: 0.14359214857946917 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.2759203195384392, 'max_iter': 37320}. Best is trial 1 with value: 0.4593707750671357.
Trial 14 finished with value: 0.07122085873302642 and parameters: {'n_components': 4, 'degree': 3, 'alpha': 0.00036576671215118265, 'max_iter': 55667}. Best is trial 1 with value: 0.4593707750671357.
Trial 21 finished with value: 0.21454612462348235 and parameters: {'n_components': 6, 'degree': 3, 'alpha': 0.010297255523273268, 'max_iter': 19578}. Best is trial 3 with value: 0.5011221654134907.
Trial 11 finished with value: -2.697243016895962 and parameters: {'n_components': 2, 'degree': 3, 'alpha': 0.25671211746811323, 'max_iter': 20325}. Best is trial 3 with value: 0.5011221654134907.
Trial 3 finished with value: 0.5011221654134907 and parameters: {'n_components': 7, 'degree': 5, 'alpha': 0.00038005136461911383, 'max_iter': 46825}. Best is trial 3 with value: 0.5011221654134907.
Trial 1 finished with value: 0.4593707750671357 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.00010109116779072229, 'max_iter': 78460}. Best is trial 3 with value: 0.5011221654134907.
Trial 4 finished with value: 0.04263771698056125 and parameters: {'n_components': 6, 'degree': 2, 'alpha': 0.0010547341312490616, 'max_iter': 50858}. Best is trial 3 with value: 0.5011221654134907.
Trial 9 finished with value: 0.3563992500998401 and parameters: {'n_components': 5, 'degree': 5, 'alpha': 0.0002703958772875831, 'max_iter': 87960}. Best is trial 3 with value: 0.5011221654134907.
Trial 12 finished with value: 0.43895200791519073 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 0.00012669723819828978, 'max_iter': 32955}. Best is trial 3 with value: 0.5011221654134907.
Trial 20 finished with value: -0.24451558203226334 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 5.946489993391575, 'max_iter': 25681}. Best is trial 3 with value: 0.5011221654134907.
Trial 15 finished with value: -1.0762771824685737 and parameters: {'n_components': 2, 'degree': 5, 'alpha': 4.059997396303012, 'max_iter': 73619}. Best is trial 3 with value: 0.5011221654134907.
Trial 5 finished with value: -0.5720534916561073 and parameters: {'n_components': 2, 'degree': 5, 'alpha': 0.0008792674891639483, 'max_iter': 52173}. Best is trial 3 with value: 0.5011221654134907.
Trial 17 finished with value: 0.10940225282951184 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 0.003460069628959931, 'max_iter': 75277}. Best is trial 3 with value: 0.5011221654134907.
Trial 22 finished with value: -0.015068220035324209 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.13289665244782503, 'max_iter': 94148}. Best is trial 3 with value: 0.5011221654134907.
Trial 19 finished with value: 0.07122878058064516 and parameters: {'n_components': 4, 'degree': 3, 'alpha': 0.0005751906276997186, 'max_iter': 3463}. Best is trial 3 with value: 0.5011221654134907.
Trial 25 finished with value: 0.09843282576429895 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 0.012583069478545586, 'max_iter': 63242}. Best is trial 3 with value: 0.5011221654134907.
Trial 30 finished with value: -1.8449179415507566 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 0.10497232033247236, 'max_iter': 19551}. Best is trial 3 with value: 0.5011221654134907.
Trial 43 finished with value: -4.972390923630585 and parameters: {'n_components': 1, 'degree': 3, 'alpha': 0.005293559739821513, 'max_iter': 38272}. Best is trial 3 with value: 0.5011221654134907.
Trial 27 finished with value: 0.41696102010651576 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 7.6296417882724095, 'max_iter': 84870}. Best is trial 3 with value: 0.5011221654134907.
Trial 26 finished with value: -0.9822845850869554 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.011148444438167098, 'max_iter': 99184}. Best is trial 3 with value: 0.5011221654134907.
Trial 32 finished with value: 0.12398976565503447 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 0.005653420257769476, 'max_iter': 96838}. Best is trial 3 with value: 0.5011221654134907.
Trial 31 finished with value: 0.14360276364424926 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.2964602680156017, 'max_iter': 84975}. Best is trial 33 with value: 0.6271905967545173.
Trial 39 finished with value: 0.14039119390440816 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.0002790030693339942, 'max_iter': 78796}. Best is trial 33 with value: 0.6271905967545173.
Trial 24 finished with value: -0.7058795128037113 and parameters: {'n_components': 9, 'degree': 5, 'alpha': 0.007470545009007382, 'max_iter': 35656}. Best is trial 33 with value: 0.6271905967545173.
Trial 34 finished with value: 0.46050332869083194 and parameters: {'n_components': 11, 'degree': 3, 'alpha': 0.004942537427915785, 'max_iter': 59186}. Best is trial 33 with value: 0.6271905967545173.
Trial 33 finished with value: 0.6271905967545173 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 1.0168742150972876, 'max_iter': 48425}. Best is trial 33 with value: 0.6271905967545173.
